[2026-04-08 16:30:20] INFO     | trading.db             | Database ready at /Users/rishabhmaniyar/Downloads/trading_framework/data/trading.db
[2026-04-08 16:30:20] INFO     | trading.db             | Database connection closed
[2026-04-08 16:30:27] DEBUG    | asyncio                | Using selector: KqueueSelector
[2026-04-08 16:30:27] INFO     | trading.main           | ============================================================
[2026-04-08 16:30:27] INFO     | trading.main           |   TRADING FRAMEWORK – STARTING
[2026-04-08 16:30:27] INFO     | trading.main           | ============================================================
[2026-04-08 16:30:27] INFO     | trading.db             | Database ready at /Users/rishabhmaniyar/Downloads/trading_framework/data/trading.db
[2026-04-08 16:30:27] INFO     | trading.broker         | Connecting to IBKR 127.0.0.1:4002 (attempt 1/3)
[2026-04-08 16:30:27] INFO     | ib_insync.client       | Connecting to 127.0.0.1:4002 with clientId 27...
[2026-04-08 16:30:27] INFO     | ib_insync.client       | Connected
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 176,20260408 16:30:26 India Standard Time
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | >>> 71,2,27,
[2026-04-08 16:30:27] INFO     | ib_insync.client       | Logged on to server version 176
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 15,1,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 9,1,1
[2026-04-08 16:30:27] INFO     | ib_insync.client       | API connection ready
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | >>> 61,1
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | >>> 5,1
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | >>> 99,0
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | >>> 6,2,1,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | >>> 76,1,1,DUM165609,,0
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 4,2,-1,2110,Connectivity between Trader Workstation and server is broken. It will be restored automatically.,
[2026-04-08 16:30:27] INFO     | ib_insync.wrapper      | Warning 2110, reqId -1: Connectivity between Trader Workstation and server is broken. It will be restored automatically.
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 4,2,-1,2103,Market data farm connection is broken:usfarm,
[2026-04-08 16:30:27] INFO     | ib_insync.wrapper      | Warning 2103, reqId -1: Market data farm connection is broken:usfarm
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 4,2,-1,2105,HMDS data farm connection is broken:ushmds,
[2026-04-08 16:30:27] INFO     | ib_insync.wrapper      | Warning 2105, reqId -1: HMDS data farm connection is broken:ushmds
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 4,2,-1,2157,Sec-def data farm connection is broken:secdefil,
[2026-04-08 16:30:27] INFO     | ib_insync.wrapper      | Warning 2157, reqId -1: Sec-def data farm connection is broken:secdefil
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccountCode,DUM165609,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccountOrGroup,DUM165609,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccountOrGroup,DUM165609,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccountReady,true,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccountType,CORPORATION,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccruedCash,121.43,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccruedCash,121.43,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccruedCash-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccruedCash-S,121.43,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccruedDividend,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccruedDividend-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AccruedDividend-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AvailableFunds,236276.47,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AvailableFunds-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,AvailableFunds-S,236276.47,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Billable,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Billable-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Billable-S,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,BuyingPower,1575176.47,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,CashBalance,245383.7915,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,CashBalance,245383.7915,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,ColumnPrio-P,5,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,ColumnPrio-S,1,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,CorporateBondValue,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,CorporateBondValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Cryptocurrency,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Cryptocurrency,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Currency,BASE,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Currency,USD,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,Cushion,0.969515,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,EquityWithLoanValue,245505.22,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,EquityWithLoanValue-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,EquityWithLoanValue-S,245505.22,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,ExcessLiquidity,238020.90,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,ExcessLiquidity-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,ExcessLiquidity-S,238020.90,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,ExchangeRate,1.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,ExchangeRate,1.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullAvailableFunds,236276.47,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullAvailableFunds-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullAvailableFunds-S,236276.47,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullExcessLiquidity,238020.90,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullExcessLiquidity-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullExcessLiquidity-S,238020.90,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullInitMarginReq,9228.75,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullInitMarginReq-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullInitMarginReq-S,9228.75,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullMaintMarginReq,7484.32,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullMaintMarginReq-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FullMaintMarginReq-S,7484.32,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FundValue,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FundValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FutureOptionValue,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FutureOptionValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FuturesPNL,2675.25,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FuturesPNL,2675.25,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,FxCashBalance,0.00,BASE,DUM165609
