[2026-04-09 15:04:02] INFO     | trading.main           | ============================================================
[2026-04-09 15:04:02] INFO     | trading.main           |   TRADING FRAMEWORK – STARTING
[2026-04-09 15:04:02] INFO     | trading.main           | ============================================================
[2026-04-09 15:04:02] INFO     | trading.db             | Database ready at C:\Users\USER\Desktop\trading-system-architecture\data\trading.db
[2026-04-09 15:04:02] INFO     | trading.broker         | Connecting to IBKR 127.0.0.1:4002 (attempt 1/3)
[2026-04-09 15:04:02] INFO     | ib_insync.client       | Connecting to 127.0.0.1:4002 with clientId 27...
[2026-04-09 15:04:04] INFO     | ib_insync.client       | Disconnecting
[2026-04-09 15:04:04] ERROR    | ib_insync.client       | API connection failed: ConnectionRefusedError(22, 'The remote computer refused the network connection', None, 1225, None)
[2026-04-09 15:04:04] ERROR    | ib_insync.client       | Make sure API port on TWS/IBG is open
[2026-04-09 15:04:04] WARNING  | trading.broker         | Connection attempt 1 failed: [WinError 1225] The remote computer refused the network connection
[2026-04-09 15:04:09] INFO     | trading.broker         | Connecting to IBKR 127.0.0.1:4002 (attempt 2/3)
[2026-04-09 15:04:09] INFO     | ib_insync.client       | Connecting to 127.0.0.1:4002 with clientId 27...
[2026-04-09 15:04:11] INFO     | ib_insync.client       | Disconnecting
[2026-04-09 15:04:11] ERROR    | ib_insync.client       | API connection failed: ConnectionRefusedError(22, 'The remote computer refused the network connection', None, 1225, None)
[2026-04-09 15:04:11] ERROR    | ib_insync.client       | Make sure API port on TWS/IBG is open
[2026-04-09 15:04:11] WARNING  | trading.broker         | Connection attempt 2 failed: [WinError 1225] The remote computer refused the network connection
[2026-04-09 15:04:16] INFO     | trading.broker         | Connecting to IBKR 127.0.0.1:4002 (attempt 3/3)
[2026-04-09 15:04:16] INFO     | ib_insync.client       | Connecting to 127.0.0.1:4002 with clientId 27...
[2026-04-09 15:04:18] INFO     | ib_insync.client       | Disconnecting
[2026-04-09 15:04:18] ERROR    | ib_insync.client       | API connection failed: ConnectionRefusedError(22, 'The remote computer refused the network connection', None, 1225, None)
[2026-04-09 15:04:18] ERROR    | ib_insync.client       | Make sure API port on TWS/IBG is open
[2026-04-09 15:04:18] WARNING  | trading.broker         | Connection attempt 3 failed: [WinError 1225] The remote computer refused the network connection
[2026-04-09 15:04:18] CRITICAL | trading.main           | Could not connect to IBKR - aborting
[2026-04-09 15:04:18] INFO     | trading.broker         | Disconnected from IBKR
[2026-04-09 15:04:18] INFO     | trading.db             | Database connection closed
[2026-04-09 16:57:21] INFO     | trading.main           | ============================================================
[2026-04-09 16:57:21] INFO     | trading.main           |   TRADING FRAMEWORK – STARTING
[2026-04-09 16:57:21] INFO     | trading.main           | ============================================================
[2026-04-09 16:57:21] INFO     | trading.db             | Database ready at C:\Users\USER\Desktop\trading-system-architecture\data\trading.db
